Freq	DF_LOWSHELF(FREQ,350,3.5,0,48000)
+DF_HIGHSHELF(FREQ,3500,-2.5,0,48000)
467.651367	1.124066
468.017578	1.121700
468.383789	1.119338
468.750000	1.116981
469.116211	1.114629
469.482422	1.112280
469.848633	1.109937
470.214844	1.107597
470.581055	1.105262
470.947266	1.102932
471.313477	1.100606
471.679688	1.098284
472.045898	1.095967
472.412109	1.093654
472.778320	1.091345
473.144531	1.089041
473.510742	1.086741
473.876953	1.084446
474.243164	1.082155
474.609375	1.079868
474.975586	1.077586
475.341797	1.075308
475.708008	1.073035
476.074219	1.070766
476.440430	1.068501
476.806641	1.066241
477.172852	1.063985
477.539062	1.061733
477.905273	1.059486
478.271484	1.057243
478.637695	1.055005
479.003906	1.052770
479.370117	1.050541
479.736328	1.048315
480.102539	1.046094
480.468750	1.043877
480.834961	1.041665
481.201172	1.039456
481.567383	1.037253
481.933594	1.035053
482.299805	1.032858
482.666016	1.030667
483.032227	1.028481
483.398438	1.026298
483.764648	1.024120
484.130859	1.021947
484.497070	1.019777
484.863281	1.017612
485.229492	1.015451
485.595703	1.013295
485.961914	1.011143
486.328125	1.008995
486.694336	1.006851
487.060547	1.004712
487.426758	1.002577
487.792969	1.000446
488.159180	0.998319
488.525391	0.996197
488.891602	0.994079
489.257812	0.991965
489.624023	0.989855
489.990234	0.987750
490.356445	0.985649
490.722656	0.983552
491.088867	0.981459
491.455078	0.979371
491.821289	0.977286
492.187500	0.975206
492.553711	0.973130
492.919922	0.971059
493.286133	0.968991
493.652344	0.966928
494.018555	0.964869
494.384766	0.962814
494.750977	0.960763
495.117188	0.958717
495.483398	0.956674
495.849609	0.954636
496.215820	0.952602
496.582031	0.950572
496.948242	0.948546
497.314453	0.946525
497.680664	0.944507
498.046875	0.942494
498.413086	0.940485
498.779297	0.938480
499.145508	0.936479
499.511719	0.934482
499.877930	0.932489
500.000000	0.931826
500.244141	0.930501
500.610352	0.928516
500.976562	0.926536
501.342773	0.924559
501.708984	0.922587
502.075195	0.920619
502.441406	0.918655
502.807617	0.916695
503.173828	0.914739
503.540039	0.912787
503.906250	0.910839
504.272461	0.908895
504.638672	0.906956
505.004883	0.905020
505.371094	0.903088
505.737305	0.901161
506.103516	0.899237
506.469727	0.897317
506.835938	0.895402
507.202148	0.893490
507.568359	0.891583
507.934570	0.889679
508.300781	0.887779
508.666992	0.885884
509.033203	0.883992
509.399414	0.882105
509.765625	0.880221
510.131836	0.878341
510.498047	0.876465
510.864258	0.874594
511.230469	0.872726
511.596680	0.870862
511.962891	0.869002
512.329102	0.867146
512.695312	0.865294
513.061523	0.863445
513.427734	0.861601
513.793945	0.859761
514.160156	0.857924
514.526367	0.856092
514.892578	0.854263
515.258789	0.852438
